,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,
196,505,Favourite Worst Nightmare,Arctic Monkeys,2007-04-21,GBCEL0700074,3999,21.3,1660504577,315657,60158552,80,611110729,4963235,52713,40161014,229596064,24875,33,5713,21,25,749483,22,43563662,36880,,2550560,0,
197,Do I Wanna Know?,AM,Arctic Monkeys,2013-01-01,GBCEL1300362,1837,33.9,2188592950,361827,91030520,81,457550865,4610448,13917,12237124,71629637,56377,149,2204,71,103,706652,34,308026596,156277,,10708249,0,
198,Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,2013-01-01,GBCEL1300370,3008,25.4,1687828519,272010,71727595,80,527397003,5344645,8490,8308615,45596295,16319566,69,14702,349,43,280766,26,121399211,37985,,3369366,0,
199,Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,2013-01-01,GBCEL1300332,3432,23.3,2188592950,11669,2167817,46,1719916219,10641718,,,,276011994,7,86851,,11,5205,9,,,,,0,
200,I Wanna Be Yours,AM,Arctic Monkeys,2013-01-01,GBCEL1300373,3597,22.6,2185240293,277753,129062801,86,109538379,1268458,2636,16502076,105020737,,39,2746,,36,2608421,35,38918532,20659,,4280207,0,
204,Problem,The Edge (Mixed By G-Wizard & DJ Nino Brown),Ariana Grande,2014-01-01,USUM71405403,1930,32.9,863631428,84796,36693869,70,1514451986,7876147,10083,14796760,108204850,534765125,113,48871,713,59,486595,32,512871964,260096,,8231077,0,
205,Break Free,Pop Party 13,Ariana Grande,2014-01-01,USUM71409719,2610,27.6,899830382,96199,41829450,70,1288704058,6983846,131095,50779178,371404445,171606029,123,86551,204,65,813444,22,240308987,115959,,7374291,0,
206,One Last Time,My Everything,Ariana Grande,2014-08-21,USUM71409723,2243,30.2,1465918510,110953,65876311,77,1101895606,9106812,74689,39669684,285511671,484923295,102,83891,118,43,356866,13,263174203,96346,11323498,5273745,0,
207,Focus,Focus,Ariana Grande,2015-10-30,USUM71516960,4551,19.5,315697428,27166,9169246,57,1033104472,6459847,319300,9810976,61451981,291876127,84,6723,1,31,227649,5,65640640,38385,4570896,1966828,0,
208,Side To Side,Dangerous Woman,Ariana Grande,2016-01-04,USUM71602107,680,58.6,1427792654,120921,38322144,70,2458018861,14668122,1697927,69105932,413361240,1906554470,128,81758,116,180,930854,26,338758974,217054,,7455134,1,
