,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 29
380,1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,1989 (Deluxe),Blank Space,85,231826,False,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,4,pop,"('Blank Space', 'Taylor Swift')",3183,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,USCJY1431309,463,71.5,1829733410.0,157465,49558504,76.0,3624778617.0,16916871.0,104685.0,38075232.0,346032878.0,1811140554.0,154.0,41483.0,123.0,107.0,566690.0,28.0,730704780.0,855164.0,749243.0,12259073.0,0,
381,3fVnlF4pGqWI9flVENcT28,Taylor Swift,1989,Wildest Dreams,80,220440,False,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4,pop,"('Wildest Dreams', 'Taylor Swift')",3186,Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,USCJY1431379,2771,26.7,964058806.0,102916,33415141,70.0,930982185.0,5528129.0,339413.0,137427132.0,1025978293.0,1227241692.0,76.0,5572.0,150.0,9.0,130475.0,6.0,450171421.0,240224.0,,5306715.0,0,
382,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Lover,85,221306,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,pop,"('Lover', 'Taylor Swift')",3192,Lover,Lover,Taylor Swift,2019-08-16,USUG11901473,1507,37.8,1413268808.0,104435,94697921,81.0,492503095.0,6305357.0,400078.0,142555742.0,921980357.0,445323991.0,201.0,74209.0,33.0,54.0,1301097.0,91.0,63095932.0,101424.0,,4309604.0,0,
383,1D4PL9B8gOg78jiHg3FvBb,Taylor Swift,Fearless (Big Machine Radio Release Special),Love Story,77,236266,False,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,4,pop,"('Love Story', 'Taylor Swift')",3192,Lover,Lover,Taylor Swift,2019-08-16,USUG11901473,1507,37.8,1413268808.0,104435,94697921,81.0,492503095.0,6305357.0,400078.0,142555742.0,921980357.0,445323991.0,201.0,74209.0,33.0,54.0,1301097.0,91.0,63095932.0,101424.0,,4309604.0,0,
384,3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,folklore,august,86,261922,False,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,pop,"('august', 'Taylor Swift')",3195,august,folklore,Taylor Swift,2020-07-24,USUG12002842,3016,25.3,1101296591.0,84267,76240482,79.0,143962401.0,1331866.0,640459.0,106537532.0,779402493.0,7241031.0,50.0,2616.0,9.0,16.0,358706.0,30.0,10172679.0,11371.0,,909574.0,0,
385,27OeeYzk6klgBh83TSvGMA,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,80,161384,True,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,hip-hop,"('WITHOUT YOU', 'The Kid LAROI')",3266,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-06-11,USSM12006586,524,67.0,927908363.0,192182,29317288,69.0,201781716.0,2768029.0,1806340.0,276254807.0,2189403368.0,106102604.0,179.0,534728.0,803.0,41.0,391181.0,22.0,78876080.0,52624.0,,,1,
386,1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,Thousand Miles,81,164781,True,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,4,hip-hop,"('Thousand Miles', 'The Kid LAROI')",3271,Thousand Miles,Thousand Miles,The Kid LAROI,2022-04-22,USSM12203367,1583,36.8,299159279.0,65016,30594262,65.0,77821012.0,905318.0,34658.0,36740366.0,393771352.0,2110846034.0,50.0,191286.0,921.0,33.0,236835.0,15.0,45001953.0,12195.0,,1415750.0,1,
387,1K3LRUEcUz5FMtPYyg0F45,The Lumineers,The Lumineers (Deluxe Edition),Ho Hey,79,163133,False,0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,4,folk,"('Ho Hey', 'The Lumineers')",3282,Ho Hey,The Lumineers,The Lumineers,2012-01-01,USDMG1260805,1818,34.1,1273869800.0,214511,64606098,76.0,370952126.0,2847630.0,28712.0,25451026.0,172101115.0,213556549.0,148.0,242121.0,353.0,98.0,601170.0,53.0,815332673.0,520710.0,13370304.0,17971225.0,0,
388,5NORWMFC27ywGSZxi8uquP,The Lumineers,Cleopatra,Ophelia,79,160097,False,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,folk,"('Ophelia', 'The Lumineers')",3283,Ophelia,Ophelia,The Lumineers,2016-05-02,USDMG1673802,2350,29.4,1274848626.0,213943,47156566,70.0,267224710.0,2081752.0,49941.0,30833392.0,234589315.0,5412813.0,86.0,56784.0,195.0,34.0,41816.0,39.0,347987957.0,153704.0,,3480225.0,0,
389,0sTlGEld0h8kIPZaKDYUf4,The Rare Occasions,Notion,Notion,83,195120,False,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4,indie,"('Notion', 'The Rare Occasions')",3290,Notion,Futureproof,The Rare Occasions,2016-05-08,USHM21617726,3325,23.8,597718233.0,172980,21596820,76.0,152225528.0,2379610.0,427031.0,256949531.0,1985146213.0,,11.0,432.0,57.0,11.0,24591.0,6.0,6377646.0,15398.0,23761659.0,3504438.0,0,
